,Date,Tweet
98,2020-11-25 23:57:10+00:00,"b'Pengin jadi Haelmoni terus meluk Han Ji  Pyeong terus bilang ga papa kamu anak baik , aku sayang kamu terus habis itu aku berubah bentuk jadi diriku sendiri \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 \nTerus Han Ji Pyeong sadar terus nanya ""siapa elu"" \xf0\x9f\x98\x92 #StartUp #StartUpEp12 #HanJipyeong https://t.co/jNuzNbNCg0'"
99,2020-11-25 23:31:17+00:00,"b'#StartUpEp12 asdfghjkl 3 tahun 3 tahun omg omooo \nOk eps selanjutnya abis PAS ya, 4 eps marathon &gt;.&lt;'"
100,2020-11-25 23:01:34+00:00,b'Ep ini tuh pecah banget sih\n#StartUpEp12\n https://t.co/emz3yzCWM1'
101,2020-11-25 17:55:59+00:00,b'hilak hilak lang shuah tas #StartUpEp12'
102,2020-11-25 17:48:43+00:00,b'setelah nonton eps 12\n#StartUpEp12 https://t.co/0BEUIP12HU'
103,2020-11-25 17:45:47+00:00,b'Lungkot ng ep.12 gagi\n#StartUpEp12'
104,2020-11-25 17:13:15+00:00,b'mana tahan ga nangis \n#StartUpEp12 https://t.co/i5tGtZxpxK'
105,2020-11-25 16:46:02+00:00,"b'Yuk kembaran sama pemain drama korea #StartUp \xf0\x9f\x93\x8a\nAku lagi open pre order nih kaos CEO, Mentor dan Staff nya. Bisa via shopee, dm / wa. Pengiriman dari Tulungagung, Jatim.\nLink shopee : https://t.co/RCA1Sd16yB\n\n#StartUpEp11 #StartUpEp12 #StartUpEp13 #StartUpEp14 https://t.co/7Un2b8v7f3'"
106,2020-11-25 16:11:37+00:00,b'Dosan adalah aku \xf0\x9f\x98\x82\n. \n. Tapi pak han yang tetap dihatii\xf0\x9f\xa5\xb0\n\n#kdrama #StartUpEp12 #StartUp https://t.co/J2MjmaZW2O'
107,2020-11-25 16:09:39+00:00,"b'ayo gengs jangan sampe kejadian seperti ini keulang kembali\xf0\x9f\xa5\xb2tolong jangan hate langsung ke aktornya,Sampe Nam joo hyuk ga berani search namanya sendiri\xf0\x9f\xa5\xb2\xf0\x9f\xa5\xb2\xf0\x9f\xa5\xb2 #StartUp #NamJooHyuk #Dosan #StartUpEp12 https://t.co/QJsyxBYFUk'"
108,2020-11-25 16:04:54+00:00,"b'Baru kelaaar nonton #StartUpEp12. Alhamdulillah, setidaknya bikin aku gak begadang malam ini.. \nGak mau nonton judul baru dulu ah selama 3 hari ini, soalnya bikin jam tidurku berubah drastis.'"
109,2020-11-25 15:27:12+00:00,b'Nangis kejer ueeee grgr bapak satu ini\xf0\x9f\x98\xad\xf0\x9f\x98\xad #StartUpEp12 #PakHanDeservesBetter\xf0\x9f\x98\xad\xe2\x9c\x8a\xf0\x9f\x8f\xbb https://t.co/LxZbd3PMp4'
110,2020-11-25 15:13:09+00:00,b'Naru selesai #StartUpEp12 terpesona dibagian preview ep 13 krna liat jidat ji pyeong \xf0\x9f\x98\x8d'
